user_id, age, gender, country  , account_age_months, subscription_type, monthly_fee, payment_method, primary_device, devices_used, favorite_genre, avg_watch_time_minutes, watch_sessions_per_week, binge_watch_sessions, completion_rate, rating_given, content_interactions, recommendation_click_rate, days_since_last_login, churned, total_revenue_to_date, watch_efficiency   , engagement_rate
U100043,  21, Male  , Australia,                 43, Standard         ,       15.99, PayPal        , Laptop        ,            1, Romance       ,                    190,                       2,                   11,              43,          1.7,                   36,                        30,                     8, No     ,    687.57            , 11.882426516572858 , 12.0
U100044,  42, Female, USA      ,                 56, Premium          ,       15.99, UPI           , Laptop        ,            2, Sci-Fi        ,                    265,                       5,                    0,              74,          4.3,                   25,                        97,                     6, No     ,    895.44            , 16.57285803627267  ,  4.166666666666667
U100045,  31, Other , Spain    ,                 21, Premium          ,        7.99, Debit Card    , Tablet        ,            2, Horror        ,                    123,                      15,                    7,              50,          2.4,                   28,                        25,                    30, No     ,    167.79            , 15.39424280350438  ,  1.75
U100046,  26, Other , Canada   ,                  2, Standard         ,       15.99, PayPal        , Tablet        ,            2, Documentary   ,                    133,                      17,                    4,              84,          1.3,                   46,                        72,                    17, Yes    ,     31.98            ,  8.317698561601    ,  2.5555555555555554
U100047,  43, Female, USA      ,                 32, Premium          ,        7.99, PayPal        , Laptop        ,            1, Romance       ,                    107,                       8,                    5,              74,          3.4,                   33,                        92,                     5, No     ,    255.68            , 13.391739674593241 ,  3.6666666666666665
U100048,  19, Female, Brazil   ,                 29, Basic            ,        7.99, PayPal        , Smart TV      ,            1, Sci-Fi        ,                    126,                       7,                    4,              57,          1.7,                   25,                        23,                    32, No     ,    231.71            , 15.76971214017522  ,  3.125
U100049,  37, Female, Japan    ,                 47, Basic            ,       15.99, UPI           , Smart TV      ,            3, Thriller      ,                     12,                       3,                   14,              96,          2.7,                   43,                        63,                    32, No     ,    751.53            ,  0.7504690431519699, 10.75
U100050,  45, Other , USA      ,                 28, Standard         ,       12.99, PayPal        , Tablet        ,            1, Comedy        ,                     27,                      15,                   11,              52,          3.3,                   44,                        79,                    24, No     ,    363.72            ,  2.0785219399538106,  2.75
U100051,  64, Female, Australia,                 33, Standard         ,       12.99, PayPal        , Smart TV      ,            3, Action        ,                    106,                      12,                    5,              97,          3.0,                   16,                        19,                    56, No     ,    428.67            ,  8.160123171670516 ,  1.2307692307692308
U100052,  24, Other , Spain    ,                 26, Basic            ,       12.99, PayPal        , Tablet        ,            3, Documentary   ,                    285,                       4,                    6,              84,          1.7,                   45,                        73,                    47, Yes    ,    337.74            , 21.939953810623557 ,  9.0
U100053,  61, Male  , France   ,                 15, Basic            ,        7.99, Debit Card    , Mobile        ,            2, Drama         ,                    217,                      13,                   13,              87,          2.5,                   26,                        48,                     8, No     ,    119.85000000000001, 27.15894868585732  ,  1.8571428571428572
U100054,  25, Female, France   ,                 45, Standard         ,        7.99, PayPal        , Tablet        ,            2, Documentary   ,                    220,                      10,                   12,              93,          3.9,                    2,                        56,                    21, No     ,    359.55            , 27.53441802252816  ,  0.18181818181818182
U100055,  64, Male  , Australia,                 26, Standard         ,       15.99, PayPal        , Smart TV      ,            3, Action        ,                    283,                       9,                    8,              78,          4.4,                    9,                         2,                    39, No     ,    415.74            , 17.698561601000627 ,  0.9
U100056,  52, Male  , USA      ,                  9, Premium          ,       12.99, Credit Card   , Laptop        ,            1, Romance       ,                    231,                       1,                    4,              74,          3.7,                   20,                        17,                    28, No     ,    116.91            , 17.782909930715935 , 10.0
U100057,  31, Male  , Japan    ,                 21, Basic            ,        7.99, Credit Card   , Laptop        ,            3, Comedy        ,                     52,                      12,                    6,              50,          4.9,                   35,                        94,                     4, No     ,    167.79            ,  6.508135168961202 ,  2.6923076923076925
U100058,  34, Other , France   ,                 20, Premium          ,       15.99, Debit Card    , Laptop        ,            2, Sci-Fi        ,                    197,                       9,                   10,              89,          4.5,                    2,                        32,                    51, No     ,    319.8             , 12.320200125078173 ,  0.2
U100059,  53, Other , UK       ,                 49, Premium          ,       12.99, Debit Card    , Mobile        ,            2, Horror        ,                    167,                      17,                   10,              32,          4.8,                   16,                        11,                    15, No     ,    636.51            , 12.85604311008468  ,  0.8888888888888888
U100060,  57, Other , USA      ,                 27, Standard         ,       12.99, UPI           , Tablet        ,            3, Drama         ,                    226,                       4,                    0,              90,          4.0,                   35,                        29,                     3, No     ,    350.73            , 17.397998460354117 ,  7.0
U100061,  21, Other , Canada   ,                 42, Standard         ,        7.99, Debit Card    , Smart TV      ,            2, Romance       ,                    251,                      17,                   14,              44,          2.8,                   38,                        35,                    39, No     ,    335.58            , 31.414267834793492 ,  2.111111111111111
U100062,  19, Male  , Germany  ,                  1, Standard         ,       15.99, UPI           , Tablet        ,            2, Action        ,                    250,                      15,                    7,              64,          4.4,                   36,                        21,                    23, No     ,     15.99            , 15.634771732332707 ,  2.25
U100063,  23, Other , Canada   ,                  9, Standard         ,        7.99, Debit Card    , Tablet        ,            1, Thriller      ,                    119,                       5,                    2,              80,          1.7,                   32,                        57,                     3, No     ,     71.91            , 14.893617021276595 ,  5.333333333333333
U100064,  59, Male  , Brazil   ,                 58, Standard         ,       15.99, UPI           , Laptop        ,            1, Thriller      ,                    297,                       5,                    9,              38,          2.6,                   44,                        51,                    23, Yes    ,    927.42            , 18.574108818011258 ,  7.333333333333333
U100065,  21, Male  , France   ,                 51, Premium          ,       12.99, UPI           , Mobile        ,            3, Horror        ,                     44,                       1,                    7,              94,          3.2,                   19,                        49,                    36, No     ,    662.49            ,  3.3872209391839876,  9.5
U100066,  46, Other , Spain    ,                 38, Standard         ,        7.99, Debit Card    , Laptop        ,            1, Romance       ,                     71,                       2,                    2,              53,          3.0,                   22,                        78,                     7, No     ,    303.62            ,  8.886107634543178 ,  7.333333333333333
U100067,  35, Male  , Germany  ,                 20, Standard         ,        7.99, Credit Card   , Laptop        ,            3, Comedy        ,                    161,                       1,                   13,              79,          3.6,                   43,                        32,                    50, No     ,    159.8             , 20.150187734668336 , 21.5
U100068,  43, Other , UK       ,                 57, Standard         ,       15.99, UPI           , Smart TV      ,            3, Drama         ,                    170,                       7,                    6,              49,          4.9,                   48,                        19,                     0, No     ,    911.4300000000001 , 10.63164477798624  ,  6.0
U100069,  61, Male  , Japan    ,                 19, Premium          ,       15.99, Credit Card   , Laptop        ,            2, Romance       ,                     95,                       7,                    1,              94,          2.2,                   26,                         0,                    12, No     ,    303.81            ,  5.941213258286429 ,  3.25
U100070,  51, Female, UK       ,                 44, Basic            ,        7.99, Debit Card    , Laptop        ,            2, Horror        ,                    297,                       2,                    9,              50,          3.2,                    3,                        58,                    11, No     ,    351.56            , 37.171464330413016 ,  1.0
U100071,  27, Other , UK       ,                 11, Standard         ,       15.99, PayPal        , Mobile        ,            2, Comedy        ,                    175,                       3,                    6,              62,          1.2,                   10,                        96,                     0, No     ,    175.89000000000001, 10.944340212632895 ,  2.5
U100072,  53, Male  , UK       ,                 14, Standard         ,       15.99, Debit Card    , Tablet        ,            1, Drama         ,                    182,                      15,                    0,              30,          4.8,                   31,                        88,                    36, No     ,    223.86            , 11.382113821138212 ,  1.9375
U100073,  31, Other , Australia,                 25, Premium          ,       12.99, UPI           , Mobile        ,            3, Documentary   ,                    253,                       4,                    5,              37,          4.3,                   48,                        17,                    44, No     ,    324.75            , 19.47652040030793  ,  9.6
U100074,  48, Male  , India    ,                 12, Basic            ,       12.99, Credit Card   , Smart TV      ,            2, Thriller      ,                    283,                      18,                    7,              47,          4.9,                   36,                        80,                    36, No     ,    155.88            , 21.78598922247883  ,  1.894736842105263
U100075,  32, Other , Canada   ,                 45, Premium          ,       12.99, Credit Card   , Tablet        ,            3, Action        ,                    204,                       7,                    1,              41,          2.8,                   24,                        20,                     5, No     ,    584.55            , 15.704387990762125 ,  3.0
U100076,  25, Female, Australia,                  7, Premium          ,       12.99, Credit Card   , Smart TV      ,            3, Romance       ,                    259,                      17,                   12,              57,          4.1,                    9,                        92,                    58, No     ,     90.93            , 19.93841416474211  ,  0.5
U100077,  31, Female, USA      ,                  3, Premium          ,        7.99, Credit Card   , Laptop        ,            3, Action        ,                    129,                      17,                    8,              63,          1.7,                   14,                        80,                    11, No     ,     23.97            , 16.14518147684606  ,  0.7777777777777778
U100078,  40, Other , UK       ,                 39, Basic            ,       12.99, Debit Card    , Smart TV      ,            1, Sci-Fi        ,                     55,                      19,                    3,              76,          2.1,                   21,                        40,                    53, No     ,    506.61            ,  4.234026173979984 ,  1.05
U100079,  57, Other , Canada   ,                 16, Premium          ,       12.99, UPI           , Smart TV      ,            2, Comedy        ,                    235,                       9,                    1,              87,          2.4,                    5,                        33,                    52, No     ,    207.84            , 18.09083910700539  ,  0.5
U100080,  38, Male  , France   ,                  1, Standard         ,        7.99, Debit Card    , Laptop        ,            1, Romance       ,                    251,                       3,                   10,              44,          2.1,                   16,                        78,                     5, No     ,      7.99            , 31.414267834793492 ,  4.0
U100081,  33, Male  , India    ,                 15, Standard         ,        7.99, Debit Card    , Tablet        ,            2, Documentary   ,                     49,                      10,                    5,              41,          2.1,                   38,                        78,                    21, No     ,    119.85000000000001,  6.132665832290363 ,  3.4545454545454546
U100082,  62, Other , Brazil   ,                 44, Basic            ,       15.99, Credit Card   , Smart TV      ,            3, Horror        ,                    165,                      14,                   14,              90,          4.9,                   10,                        84,                    50, No     ,    703.5600000000001 , 10.318949343339588 ,  0.6666666666666666
U100083,  35, Female, UK       ,                 11, Premium          ,       12.99, PayPal        , Laptop        ,            2, Sci-Fi        ,                     75,                       5,                   13,              78,          3.6,                    0,                        46,                    49, No     ,    142.89000000000001,  5.773672055427252 ,  0.0
U100084,  64, Female, Australia,                  1, Basic            ,        7.99, UPI           , Tablet        ,            3, Action        ,                    168,                       2,                   14,              89,          1.1,                   13,                        15,                     1, No     ,      7.99            , 21.026282853566958 ,  4.333333333333333
U100085,  41, Other , India    ,                  3, Standard         ,       12.99, Credit Card   , Tablet        ,            1, Horror        ,                    266,                       8,                   13,              58,          4.3,                   44,                        32,                    26, No     ,     38.97            , 20.47729022324865  ,  4.888888888888889
U100086,  43, Male  , Japan    ,                 22, Basic            ,       15.99, Credit Card   , Laptop        ,            1, Action        ,                     56,                      15,                    8,              79,          2.9,                   11,                         0,                    12, No     ,    351.78000000000003,  3.5021888680425266,  0.6875
U100087,  42, Other , Canada   ,                 43, Standard         ,        7.99, PayPal        , Smart TV      ,            3, Comedy        ,                    176,                      13,                    2,              91,          4.0,                   36,                        71,                     5, No     ,    343.57            , 22.027534418022526 ,  2.5714285714285716
U100088,  62, Other , Australia,                  6, Premium          ,       15.99, Credit Card   , Mobile        ,            1, Romance       ,                    188,                       1,                    1,              73,          3.8,                   13,                        24,                    48, No     ,     95.94            , 11.757348342714197 ,  6.5
U100089,  58, Female, Canada   ,                 22, Basic            ,       15.99, PayPal        , Mobile        ,            3, Thriller      ,                    120,                       9,                    7,              79,          2.4,                   17,                        39,                    46, No     ,    351.78000000000003,  7.5046904315197   ,  1.7
U100090,  46, Female, France   ,                 45, Standard         ,       12.99, UPI           , Tablet        ,            2, Documentary   ,                     10,                       5,                   13,              48,          1.2,                   35,                        90,                     2, No     ,    584.55            ,  0.7698229407236336,  5.833333333333333
U100091,  32, Male  , Australia,                 50, Premium          ,        7.99, UPI           , Smart TV      ,            2, Sci-Fi        ,                     15,                      17,                    8,              45,          4.8,                    9,                        60,                    49, Yes    ,    399.5             ,  1.8773466833541927,  0.5
U100092,  62, Male  , Germany  ,                 28, Standard         ,       15.99, Credit Card   , Laptop        ,            3, Comedy        ,                    297,                       1,                   14,              55,          4.1,                   20,                         3,                    45, No     ,    447.72            , 18.574108818011258 , 10.0
U100093,  18, Other , France   ,                 14, Standard         ,        7.99, Credit Card   , Smart TV      ,            1, Documentary   ,                     13,                      17,                    1,              60,          1.3,                   11,                        65,                     0, No     ,    111.86            ,  1.6270337922403004,  0.6111111111111112
U100094,  42, Other , India    ,                 46, Basic            ,       12.99, UPI           , Mobile        ,            3, Thriller      ,                    242,                      10,                   12,              42,          2.3,                   47,                        14,                    19, No     ,    597.54            , 18.629715165511932 ,  4.2727272727272725
U100095,  24, Other , Canada   ,                 32, Premium          ,       12.99, PayPal        , Laptop        ,            1, Drama         ,                    185,                       1,                    3,              86,          1.2,                   19,                        39,                     1, No     ,    415.68            , 14.24172440338722  ,  9.5
U100096,  26, Other , Germany  ,                 58, Basic            ,       12.99, PayPal        , Tablet        ,            1, Thriller      ,                    129,                       8,                    1,              55,          2.3,                   14,                        46,                    36, No     ,    753.42            ,  9.930715935334872 ,  1.5555555555555556
U100097,  41, Female, USA      ,                 29, Standard         ,       15.99, Debit Card    , Mobile        ,            1, Sci-Fi        ,                    214,                       8,                    8,              96,          2.7,                   40,                        99,                    51, No     ,    463.71            , 13.383364602876798 ,  4.444444444444445
U100098,  18, Male  , Brazil   ,                  5, Basic            ,        7.99, Credit Card   , Mobile        ,            1, Sci-Fi        ,                    254,                       3,                   11,              32,          4.6,                    6,                        46,                    41, No     ,     39.95            , 31.78973717146433  ,  1.5
U100099,  61, Male  , France   ,                 44, Basic            ,       15.99, UPI           , Smart TV      ,            2, Romance       ,                     10,                       5,                    8,              63,          3.3,                   32,                        75,                    13, No     ,    703.5600000000001 ,  0.6253908692933083,  5.333333333333333
U100100,  25, Male  , Canada   ,                 35, Premium          ,       15.99, PayPal        , Smart TV      ,            1, Comedy        ,                    154,                      18,                    7,              44,          2.8,                   23,                        28,                     3, No     ,    559.65            ,  9.631019387116948 ,  1.2105263157894737
U100101,  41, Male  , Canada   ,                 11, Basic            ,       15.99, Credit Card   , Smart TV      ,            1, Comedy        ,                     47,                       7,                   13,              66,          3.2,                   16,                        12,                    22, Yes    ,    175.89000000000001,  2.9393370856785492,  2.0
U100102,  28, Female, UK       ,                  1, Basic            ,       15.99, Debit Card    , Laptop        ,            1, Horror        ,                    250,                      11,                    6,              83,          4.3,                   46,                        65,                    53, No     ,     15.99            , 15.634771732332707 ,  3.8333333333333335
U100103,  34, Other , USA      ,                 48, Premium          ,        7.99, Credit Card   , Smart TV      ,            3, Action        ,                     58,                       4,                    0,              65,          4.1,                    6,                        92,                    59, No     ,    383.52            ,  7.259073842302878 ,  1.2
U100104,  25, Male  , France   ,                  7, Standard         ,       12.99, PayPal        , Tablet        ,            3, Comedy        ,                    215,                      15,                    6,              82,          4.8,                   13,                        38,                    49, Yes    ,     90.93            , 16.551193225558123 ,  0.8125
U100105,  52, Male  , Germany  ,                  3, Standard         ,        7.99, UPI           , Mobile        ,            1, Horror        ,                    248,                      15,                   14,              95,          4.5,                    2,                        78,                     2, No     ,     23.97            , 31.038798498122652 ,  0.125
U100106,  52, Other , France   ,                 22, Standard         ,       12.99, PayPal        , Mobile        ,            1, Horror        ,                    114,                       6,                    5,              52,          4.2,                   17,                        81,                    49, Yes    ,    285.78000000000003,  8.775981524249422 ,  2.4285714285714284
U100107,  50, Female, Spain    ,                 31, Standard         ,        7.99, UPI           , Mobile        ,            3, Sci-Fi        ,                     96,                       8,                   12,              44,          2.8,                   12,                         8,                    22, No     ,    247.69            , 12.015018773466833 ,  1.3333333333333333
U100108,  22, Female, USA      ,                  3, Standard         ,        7.99, PayPal        , Laptop        ,            2, Sci-Fi        ,                    212,                      17,                    7,              86,          2.4,                   39,                        39,                    16, No     ,     23.97            , 26.53316645807259  ,  2.1666666666666665
U100109,  59, Male  , India    ,                 17, Standard         ,       15.99, Credit Card   , Mobile        ,            3, Thriller      ,                    283,                       9,                    1,              92,          2.9,                   33,                        92,                    11, No     ,    271.83            , 17.698561601000627 ,  3.3
U100110,  56, Male  , Brazil   ,                 18, Basic            ,       12.99, Debit Card    , Laptop        ,            2, Drama         ,                    212,                       8,                    2,              73,          2.8,                   25,                        68,                    41, No     ,    233.82            , 16.320246343341033 ,  2.7777777777777777
U100111,  58, Male  , Japan    ,                 15, Standard         ,        7.99, Debit Card    , Laptop        ,            1, Documentary   ,                    210,                      11,                   11,              56,          4.6,                   33,                        41,                    39, No     ,    119.85000000000001, 26.282853566958696 ,  2.75
U100112,  45, Female, France   ,                 55, Standard         ,        7.99, Debit Card    , Mobile        ,            1, Sci-Fi        ,                    235,                      12,                    1,              80,          3.4,                    7,                        38,                    57, Yes    ,    439.45            , 29.41176470588235  ,  0.5384615384615384
U100113,  24, Male  , France   ,                 53, Premium          ,        7.99, PayPal        , Smart TV      ,            3, Documentary   ,                     26,                      11,                    3,              90,          4.5,                   23,                        93,                    28, No     ,    423.47            ,  3.254067584480601 ,  1.9166666666666667
U100114,  26, Other , Germany  ,                 38, Basic            ,        7.99, PayPal        , Mobile        ,            1, Documentary   ,                     36,                       2,                   10,              62,          2.9,                   38,                        57,                     6, No     ,    303.62            ,  4.505632040050062 , 12.666666666666666
U100115,  25, Female, Germany  ,                 35, Basic            ,       15.99, UPI           , Tablet        ,            3, Comedy        ,                     60,                      18,                    9,              33,          3.4,                    1,                        40,                    20, No     ,    559.65            ,  3.75234521575985  ,  0.05263157894736842
